Passager0;Survived;Pclass;Sex;Age;SibSp;Parch;Embarked
Passager732;0;3;1;11;0;0;2
Passager733;0;2;1;0;0;0;1
Passager734;0;2;1;23;0;0;1
Passager735;0;2;1;23;0;0;1
Passager736;0;3;1;28,5;0;0;1
Passager737;0;3;0;48;1;3;1
Passager738;1;1;1;35;0;0;2
Passager739;0;3;1;0;0;0;1
Passager740;0;3;1;0;0;0;1
Passager741;1;1;1;0;0;0;1
Passager742;0;1;1;36;1;0;1
Passager743;1;1;0;21;2;2;2
Passager744;0;3;1;24;1;0;1
Passager745;1;3;1;31;0;0;1
Passager746;0;1;1;70;1;1;1
Passager747;0;3;1;16;1;1;1
Passager748;1;2;0;30;0;0;1
Passager749;0;1;1;19;1;0;1
Passager750;0;3;1;31;0;0;3
Passager751;1;2;0;4;1;1;1
Passager752;1;3;1;6;0;1;1
Passager753;0;3;1;33;0;0;1
Passager754;0;3;1;23;0;0;1
Passager755;1;2;0;48;1;2;1
Passager756;1;2;1;0,67;1;1;1
Passager757;0;3;1;28;0;0;1
Passager758;0;2;1;18;0;0;1
Passager759;0;3;1;34;0;0;1
Passager760;1;1;0;33;0;0;1
Passager761;0;3;1;0;0;0;1
Passager762;0;3;1;41;0;0;1
Passager763;1;3;1;20;0;0;2
Passager764;1;1;0;36;1;2;1
Passager765;0;3;1;16;0;0;1
Passager766;1;1;0;51;1;0;1
Passager767;0;1;1;0;0;0;2
Passager768;0;3;0;30,5;0;0;3
Passager769;0;3;1;0;1;0;3
Passager770;0;3;1;32;0;0;1
Passager771;0;3;1;24;0;0;1
Passager772;0;3;1;48;0;0;1
Passager773;0;2;0;57;0;0;1
Passager774;0;3;1;0;0;0;2
Passager775;1;2;0;54;1;3;1
Passager776;0;3;1;18;0;0;1
Passager777;0;3;1;0;0;0;3
Passager778;1;3;0;5;0;0;1
Passager779;0;3;1;0;0;0;3
Passager780;1;1;0;43;0;1;1
Passager781;1;3;0;13;0;0;2
Passager782;1;1;0;17;1;0;1
Passager783;0;1;1;29;0;0;1
Passager784;0;3;1;0;1;2;1
Passager785;0;3;1;25;0;0;1
Passager786;0;3;1;25;0;0;1
Passager787;1;3;0;18;0;0;1
Passager788;0;3;1;8;4;1;3
Passager789;1;3;1;1;1;2;1
Passager790;0;1;1;46;0;0;2
Passager791;0;3;1;0;0;0;3
Passager792;0;2;1;16;0;0;1
Passager793;0;3;0;0;8;2;1
Passager794;0;1;1;0;0;0;2
Passager795;0;3;1;25;0;0;1
Passager796;0;2;1;39;0;0;1
Passager797;1;1;0;49;0;0;1
Passager798;1;3;0;31;0;0;1
Passager799;0;3;1;30;0;0;2
Passager800;0;3;0;30;1;1;1
Passager801;0;2;1;34;0;0;1
Passager802;1;2;0;31;1;1;1
Passager803;1;1;1;11;1;2;1
Passager804;1;3;1;0,42;0;1;2
Passager805;1;3;1;27;0;0;1
Passager806;0;3;1;31;0;0;1
Passager807;0;1;1;39;0;0;1
Passager808;0;3;0;18;0;0;1
Passager809;0;2;1;39;0;0;1
Passager810;1;1;0;33;1;0;1
Passager811;0;3;1;26;0;0;1
Passager812;0;3;1;39;0;0;1
Passager813;0;2;1;35;0;0;1
Passager814;0;3;0;6;4;2;1
Passager815;0;3;1;30,5;0;0;1
Passager816;0;1;1;0;0;0;1
Passager817;0;3;0;23;0;0;1
Passager818;0;2;1;31;1;1;2
Passager819;0;3;1;43;0;0;1
Passager820;0;3;1;10;3;2;1
Passager821;1;1;0;52;1;1;1
Passager822;1;3;1;27;0;0;1
Passager823;0;1;1;38;0;0;1
Passager824;1;3;0;27;0;1;1
Passager825;0;3;1;2;4;1;1
Passager826;0;3;1;0;0;0;3
Passager827;0;3;1;0;0;0;1
Passager828;1;2;1;1;0;2;2
Passager829;1;3;1;0;0;0;3
Passager830;1;1;0;62;0;0;0
Passager831;1;3;0;15;1;0;2
Passager832;1;2;1;0,83;1;1;1
Passager833;0;3;1;0;0;0;2
Passager834;0;3;1;23;0;0;1
Passager835;0;3;1;18;0;0;1
Passager836;1;1;0;39;1;1;2
Passager837;0;3;1;21;0;0;1
Passager838;0;3;1;0;0;0;1
Passager839;1;3;1;32;0;0;1
Passager840;1;1;1;0;0;0;2
Passager841;0;3;1;20;0;0;1
Passager842;0;2;1;16;0;0;1
Passager843;1;1;0;30;0;0;2
Passager844;0;3;1;34,5;0;0;2
Passager845;0;3;1;17;0;0;1
Passager846;0;3;1;42;0;0;1
Passager847;0;3;1;0;8;2;1
Passager848;0;3;1;35;0;0;2
Passager849;0;2;1;28;0;1;1
Passager850;1;1;0;0;1;0;2
Passager851;0;3;1;4;4;2;1
Passager852;0;3;1;74;0;0;1
Passager853;0;3;0;9;1;1;2
Passager854;1;1;0;16;0;1;1
Passager855;0;2;0;44;1;0;1
Passager856;1;3;0;18;0;1;1
Passager857;1;1;0;45;1;1;1
Passager858;1;1;1;51;0;0;1
Passager859;1;3;0;24;0;3;2
Passager860;0;3;1;0;0;0;2
Passager861;0;3;1;41;2;0;1
Passager862;0;2;1;21;1;0;1
Passager863;1;1;0;48;0;0;1
Passager864;0;3;0;0;8;2;1
Passager865;0;2;1;24;0;0;1
Passager866;1;2;0;42;0;0;1
Passager867;1;2;0;27;1;0;2
Passager868;0;1;1;31;0;0;1
Passager869;0;3;1;0;0;0;1
Passager870;1;3;1;4;1;1;1
Passager871;0;3;1;26;0;0;1
Passager872;1;1;0;47;1;1;1
Passager873;0;1;1;33;0;0;1
Passager874;0;3;1;47;0;0;1
Passager875;1;2;0;28;1;0;2
Passager876;1;3;0;15;0;0;2
Passager877;0;3;1;20;0;0;1
Passager878;0;3;1;19;0;0;1
Passager879;0;3;1;0;0;0;1
Passager880;1;1;0;56;0;1;2
Passager881;1;2;0;25;0;1;1
Passager882;0;3;1;33;0;0;1
Passager883;0;3;0;22;0;0;1
Passager884;0;2;1;28;0;0;1
Passager885;0;3;1;25;0;0;1
Passager886;0;3;0;39;0;5;3
Passager887;0;2;1;27;0;0;1
Passager888;1;1;0;19;0;0;1
Passager889;0;3;0;0;1;2;1
Passager890;1;1;1;26;0;0;2
Passager891;0;3;1;32;0;0;3
